2024-01-03 16:43:08,955 INFO [http-nio-8080-exec-10] readLogger [ProductController.java:66] UserID: 65956dbbbe5d4add9cd0eedd, Operation: Read, Method: getProductById, Product: Ordinateur, Price: 180.0
2024-01-03 16:43:28,828 INFO [http-nio-8080-exec-1] readLogger [ProductController.java:66] UserID: 65956dbbbe5d4add9cd0eedd, Operation: Read, Method: getProductById, Product: Ordinateur, Price: 180.0
2024-01-03 16:44:51,316 INFO [http-nio-8080-exec-4] readLogger [ProductController.java:66] UserID: 65956dbbbe5d4add9cd0eedd, Operation: Read, Method: getProductById, Product: Porte, Price: 150.99
2024-01-03 16:47:13,911 INFO [http-nio-8080-exec-10] readLogger [ProductController.java:52] UserID: 658fe67272ab2f6fdb6e1279, Operation: Read, Method: getProducts
2024-01-03 16:47:14,565 INFO [http-nio-8080-exec-1] readLogger [ProductController.java:52] UserID: 658fe67272ab2f6fdb6e1279, Operation: Read, Method: getProducts
2024-01-03 16:47:15,185 INFO [http-nio-8080-exec-2] readLogger [ProductController.java:52] UserID: 658fe67272ab2f6fdb6e1279, Operation: Read, Method: getProducts
2024-01-03 16:47:15,574 INFO [http-nio-8080-exec-3] readLogger [ProductController.java:52] UserID: 658fe67272ab2f6fdb6e1279, Operation: Read, Method: getProducts
2024-01-03 16:47:16,304 INFO [http-nio-8080-exec-4] readLogger [ProductController.java:52] UserID: 658fe67272ab2f6fdb6e1279, Operation: Read, Method: getProducts
2024-01-03 16:47:16,681 INFO [http-nio-8080-exec-5] readLogger [ProductController.java:52] UserID: 658fe67272ab2f6fdb6e1279, Operation: Read, Method: getProducts
2024-01-03 16:48:04,051 INFO [http-nio-8080-exec-10] readLogger [ProductController.java:52] UserID: 658fe67272ab2f6fdb6e1279, Operation: Read, Method: getProducts
2024-01-03 17:20:43,967 INFO [http-nio-8080-exec-1] readLogger [ProductController.java:52] UserID: 65956d34be5d4add9cd0eedc, Operation: Read, Method: getProducts
2024-01-03 17:20:55,598 INFO [http-nio-8080-exec-3] readLogger [ProductController.java:52] UserID: 65956d34be5d4add9cd0eedc, Operation: Read, Method: getProducts
2024-01-03 17:20:57,346 INFO [http-nio-8080-exec-4] readLogger [ProductController.java:52] UserID: 65956d34be5d4add9cd0eedc, Operation: Read, Method: getProducts
2024-01-03 17:20:57,773 INFO [http-nio-8080-exec-5] readLogger [ProductController.java:52] UserID: 65956d34be5d4add9cd0eedc, Operation: Read, Method: getProducts
2024-01-03 17:20:58,315 INFO [http-nio-8080-exec-6] readLogger [ProductController.java:52] UserID: 65956d34be5d4add9cd0eedc, Operation: Read, Method: getProducts
2024-01-03 17:23:18,704 INFO [http-nio-8080-exec-3] readLogger [ProductController.java:52] UserID: 65956d34be5d4add9cd0eedc, Operation: Read, Method: getProducts
2024-01-03 17:24:18,719 INFO [http-nio-8080-exec-5] readLogger [ProductController.java:52] UserID: 65956d34be5d4add9cd0eedc, Operation: Read, Method: getProducts
2024-01-03 17:25:27,263 INFO [http-nio-8080-exec-8] readLogger [ProductController.java:52] UserID: 6595709252f4d900d2ac7705, Operation: Read, Method: getProducts
2024-01-03 17:25:28,119 INFO [http-nio-8080-exec-9] readLogger [ProductController.java:52] UserID: 6595709252f4d900d2ac7705, Operation: Read, Method: getProducts
2024-01-03 17:25:28,574 INFO [http-nio-8080-exec-10] readLogger [ProductController.java:52] UserID: 6595709252f4d900d2ac7705, Operation: Read, Method: getProducts
2024-01-03 17:25:29,045 INFO [http-nio-8080-exec-2] readLogger [ProductController.java:52] UserID: 6595709252f4d900d2ac7705, Operation: Read, Method: getProducts
2024-01-03 17:25:29,471 INFO [http-nio-8080-exec-1] readLogger [ProductController.java:52] UserID: 6595709252f4d900d2ac7705, Operation: Read, Method: getProducts
2024-01-03 17:25:29,921 INFO [http-nio-8080-exec-3] readLogger [ProductController.java:52] UserID: 6595709252f4d900d2ac7705, Operation: Read, Method: getProducts
2024-01-03 17:25:38,138 INFO [http-nio-8080-exec-5] readLogger [ProductController.java:52] UserID: 6595709252f4d900d2ac7705, Operation: Read, Method: getProducts
2024-01-03 17:26:47,630 INFO [http-nio-8080-exec-3] readLogger [ProductController.java:52] UserID: 6595709252f4d900d2ac7705, Operation: Read, Method: getProducts
2024-01-03 17:26:59,120 INFO [http-nio-8080-exec-4] readLogger [ProductController.java:52] UserID: 6595709252f4d900d2ac7705, Operation: Read, Method: getProducts
2024-01-03 17:27:34,607 INFO [http-nio-8080-exec-8] readLogger [ProductController.java:52] UserID: 659570b852f4d900d2ac7706, Operation: Read, Method: getProducts
